2022 Federal Election House of Representatives First Preferences By Candidate By Polling Place for NSW [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:02 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
NSW,103,Banks,108623,EAV COVID19 Banks PPVC,999,Informal,Informal,999,N,N,,Informal,2,0.56
NSW,103,Banks,97645,Haymarket BANKS PPVC,37018,COLEMAN,David,1,Y,Y,LP,Liberal,38,-8.54
NSW,103,Banks,97645,Haymarket BANKS PPVC,36651,COCKER,Elouise Ivy,2,N,N,LDP,Liberal Democrats,1,0.92
NSW,103,Banks,97645,Haymarket BANKS PPVC,36265,MOMIRCEVSKI,Marika,3,N,N,UAPP,United Australia Party,2,-0.61
NSW,103,Banks,97645,Haymarket BANKS PPVC,36330,HANNA,Natalie,4,N,N,GRN,The Greens,18,7.45
NSW,103,Banks,97645,Haymarket BANKS PPVC,37388,KHOUW,Steve,5,N,N,NAFD,,2,1.83
NSW,103,Banks,97645,Haymarket BANKS PPVC,37773,HEFFERNAN,Malcolm Phillip,6,N,N,ON,Pauline Hanson's One Nation,2,1.83
NSW,103,Banks,97645,Haymarket BANKS PPVC,36774,SOON,Zhi,7,N,N,ALP,Labor,46,2.83
NSW,103,Banks,97645,Haymarket BANKS PPVC,999,Informal,Informal,999,N,N,,Informal,6,-0.2
NSW,103,Banks,79613,Hurstville (Banks),37018,COLEMAN,David,1,Y,Y,LP,Liberal,149,-13.86
NSW,103,Banks,79613,Hurstville (Banks),36651,COCKER,Elouise Ivy,2,N,N,LDP,Liberal Democrats,8,1.97
NSW,103,Banks,79613,Hurstville (Banks),36265,MOMIRCEVSKI,Marika,3,N,N,UAPP,United Australia Party,14,0.61
NSW,103,Banks,79613,Hurstville (Banks),36330,HANNA,Natalie,4,N,N,GRN,The Greens,49,5.2
NSW,103,Banks,79613,Hurstville (Banks),37388,KHOUW,Steve,5,N,N,NAFD,,0,0
NSW,103,Banks,79613,Hurstville (Banks),37773,HEFFERNAN,Malcolm Phillip,6,N,N,ON,Pauline Hanson's One Nation,6,1.47
NSW,103,Banks,79613,Hurstville (Banks),36774,SOON,Zhi,7,N,N,ALP,Labor,181,10.74
NSW,103,Banks,79613,Hurstville (Banks),999,Informal,Informal,999,N,N,,Informal,40,-0.64
NSW,103,Banks,34046,Hurstville BANKS PPVC,37018,COLEMAN,David,1,Y,Y,LP,Liberal,4808,-11.91
NSW,103,Banks,34046,Hurstville BANKS PPVC,36651,COCKER,Elouise Ivy,2,N,N,LDP,Liberal Democrats,85,0.77
NSW,103,Banks,34046,Hurstville BANKS PPVC,36265,MOMIRCEVSKI,Marika,3,N,N,UAPP,United Australia Party,458,2.3
NSW,103,Banks,34046,Hurstville BANKS PPVC,36330,HANNA,Natalie,4,N,N,GRN,The Greens,811,2.71
NSW,103,Banks,34046,Hurstville BANKS PPVC,37388,KHOUW,Steve,5,N,N,NAFD,,104,0.95
NSW,103,Banks,34046,Hurstville BANKS PPVC,37773,HEFFERNAN,Malcolm Phillip,6,N,N,ON,Pauline Hanson's One Nation,225,2.05
NSW,103,Banks,34046,Hurstville BANKS PPVC,36774,SOON,Zhi,7,N,N,ALP,Labor,4497,7.23
NSW,103,Banks,34046,Hurstville BANKS PPVC,999,Informal,Informal,999,N,N,,Informal,637,-0.7
NSW,103,Banks,79614,Hurstville East (Banks),37018,COLEMAN,David,1,Y,Y,LP,Liberal,79,-13.62
NSW,103,Banks,79614,Hurstville East (Banks),36651,COCKER,Elouise Ivy,2,N,N,LDP,Liberal Democrats,5,1.97
NSW,103,Banks,79614,Hurstville East (Banks),36265,MOMIRCEVSKI,Marika,3,N,N,UAPP,United Australia Party,14,3.07
NSW,103,Banks,79614,Hurstville East (Banks),36330,HANNA,Natalie,4,N,N,GRN,The Greens,34,5.26
NSW,103,Banks,79614,Hurstville East (Banks),37388,KHOUW,Steve,5,N,N,NAFD,,4,1.57
NSW,103,Banks,79614,Hurstville East (Banks),37773,HEFFERNAN,Malcolm Phillip,6,N,N,ON,Pauline Hanson's One Nation,4,1.57
NSW,103,Banks,79614,Hurstville East (Banks),36774,SOON,Zhi,7,N,N,ALP,Labor,114,5.45
NSW,103,Banks,79614,Hurstville East (Banks),999,Informal,Informal,999,N,N,,Informal,32,-0.95
NSW,103,Banks,45,Hurstville Grove,37018,COLEMAN,David,1,Y,Y,LP,Liberal,627,-8
NSW,103,Banks,45,Hurstville Grove,36651,COCKER,Elouise Ivy,2,N,N,LDP,Liberal Democrats,11,0.81
NSW,103,Banks,45,Hurstville Grove,36265,MOMIRCEVSKI,Marika,3,N,N,UAPP,United Australia Party,85,4.93
NSW,103,Banks,45,Hurstville Grove,36330,HANNA,Natalie,4,N,N,GRN,The Greens,136,3.3
NSW,103,Banks,45,Hurstville Grove,37388,KHOUW,Steve,5,N,N,NAFD,,14,1.03
NSW,103,Banks,45,Hurstville Grove,37773,HEFFERNAN,Malcolm Phillip,6,N,N,ON,Pauline Hanson's One Nation,37,2.73
NSW,103,Banks,45,Hurstville Grove,36774,SOON,Zhi,7,N,N,ALP,Labor,443,-0.53
NSW,103,Banks,45,Hurstville Grove,999,Informal,Informal,999,N,N,,Informal,94,1.38
NSW,103,Banks,43,Hurstville South,37018,COLEMAN,David,1,Y,Y,LP,Liberal,309,-11.88
NSW,103,Banks,43,Hurstville South,36651,COCKER,Elouise Ivy,2,N,N,LDP,Liberal Democrats,6,0.76
