2022 Federal Election House of Representatives First Preferences By Candidate By Polling Place for ACT [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:00 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
ACT,318,Bean,93908,Hughes (Bean),37455,AMBARD,Benjamin,2,N,N,ON,Pauline Hanson's One Nation,7,2.94
ACT,318,Bean,93908,Hughes (Bean),36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,105,13.6
ACT,318,Bean,93908,Hughes (Bean),32130,CHRISTIE,Jamie,4,N,N,IND,Independent,17,0.57
ACT,318,Bean,93908,Hughes (Bean),36243,SAVERY,Kathryn Jane,5,N,N,GRN,The Greens,42,-4.41
ACT,318,Bean,93908,Hughes (Bean),37198,HIATT,Jane,6,N,N,LP,Liberal,60,-8.6
ACT,318,Bean,93908,Hughes (Bean),999,Informal,Informal,999,N,N,,Informal,6,-4.93
ACT,318,Bean,8884,Isabella Plains,36239,CONWAY,Sean,1,N,N,UAPP,United Australia Party,58,0.05
ACT,318,Bean,8884,Isabella Plains,37455,AMBARD,Benjamin,2,N,N,ON,Pauline Hanson's One Nation,67,4.13
ACT,318,Bean,8884,Isabella Plains,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,659,2.55
ACT,318,Bean,8884,Isabella Plains,32130,CHRISTIE,Jamie,4,N,N,IND,Independent,146,0.98
ACT,318,Bean,8884,Isabella Plains,36243,SAVERY,Kathryn Jane,5,N,N,GRN,The Greens,201,-0.03
ACT,318,Bean,8884,Isabella Plains,37198,HIATT,Jane,6,N,N,LP,Liberal,492,-0.29
ACT,318,Bean,8884,Isabella Plains,999,Informal,Informal,999,N,N,,Informal,83,-1.81
ACT,318,Bean,8776,Kambah North,36239,CONWAY,Sean,1,N,N,UAPP,United Australia Party,60,0.52
ACT,318,Bean,8776,Kambah North,37455,AMBARD,Benjamin,2,N,N,ON,Pauline Hanson's One Nation,55,3.43
ACT,318,Bean,8776,Kambah North,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,618,-1.4
ACT,318,Bean,8776,Kambah North,32130,CHRISTIE,Jamie,4,N,N,IND,Independent,170,2.25
ACT,318,Bean,8776,Kambah North,36243,SAVERY,Kathryn Jane,5,N,N,GRN,The Greens,260,2.03
ACT,318,Bean,8776,Kambah North,37198,HIATT,Jane,6,N,N,LP,Liberal,439,1.46
ACT,318,Bean,8776,Kambah North,999,Informal,Informal,999,N,N,,Informal,48,-2.29
ACT,318,Bean,8777,Kambah South,36239,CONWAY,Sean,1,N,N,UAPP,United Australia Party,48,0.85
ACT,318,Bean,8777,Kambah South,37455,AMBARD,Benjamin,2,N,N,ON,Pauline Hanson's One Nation,51,3.19
ACT,318,Bean,8777,Kambah South,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,709,4.07
ACT,318,Bean,8777,Kambah South,32130,CHRISTIE,Jamie,4,N,N,IND,Independent,143,-0.68
ACT,318,Bean,8777,Kambah South,36243,SAVERY,Kathryn Jane,5,N,N,GRN,The Greens,302,0.56
