StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,TotalVotes,Progressive,Conservative,Other,Leaning
NSW,103,Banks,2,East Hills,1061,0.42412818096135724,0.4184731385485391,0.15739868049010367,-0.005655042412818112
NSW,103,Banks,3,Riverwood East (Banks),1162,0.423407917383821,0.3476764199655766,0.2289156626506024,-0.07573149741824442
NSW,103,Banks,4,Lugarno,2177,0.3155718879191548,0.5176848874598071,0.16674322462103813,0.20211299954065232
NSW,103,Banks,5,Mortdale West,1815,0.4203856749311295,0.39228650137741045,0.18732782369146006,-0.028099173553719048
NSW,103,Banks,6,Narwee,2272,0.4511443661971831,0.36399647887323944,0.18485915492957747,-0.08714788732394368
NSW,103,Banks,7,Padstow,1990,0.4045226130653266,0.3934673366834171,0.2020100502512563,-0.011055276381909507
NSW,103,Banks,8,Padstow East,1364,0.3878299120234604,0.3907624633431085,0.22140762463343108,0.0029325513196480912
NSW,103,Banks,10,Padstow South,2019,0.33977216443784053,0.4581475978207033,0.20208023774145617,0.11837543338286277
NSW,103,Banks,11,Panania,926,0.3952483801295896,0.44168466522678185,0.1630669546436285,0.04643628509719222
NSW,103,Banks,12,Panania Central,1019,0.3699705593719333,0.4690873405299313,0.16094210009813542,0.09911678115799799
NSW,103,Banks,13,Panania North,1726,0.37775202780996525,0.4107763615295481,0.21147161066048667,0.033024333719582855
NSW,103,Banks,14,Panania South,2073,0.36806560540279787,0.45296671490593343,0.1789676796912687,0.08490110950313556
NSW,103,Banks,16,Peakhurst East,1717,0.38147932440302856,0.38206173558532325,0.23645894001164822,5.824111822946842e-4
NSW,103,Banks,17,Peakhurst South,1869,0.3697164258962012,0.4756554307116105,0.15462814339218833,0.1059390048154093
NSW,103,Banks,18,Peakhurst West,2393,0.3857083159214375,0.42331801086502296,0.1909736732135395,0.03760969494358546
NSW,103,Banks,19,Penshurst,1050,0.43142857142857144,0.36857142857142855,0.2,-0.06285714285714289
NSW,103,Banks,22,Picnic Point North,1544,0.3335492227979275,0.4799222797927461,0.18652849740932642,0.14637305699481862
NSW,103,Banks,25,Revesby North (Banks),1662,0.4037304452466907,0.4001203369434416,0.19614921780986763,-0.0036101083032490933
NSW,103,Banks,26,Revesby South,2112,0.40009469696969696,0.4303977272727273,0.16950757575757575,0.03030303030303033
NSW,103,Banks,27,Riverwood North,1078,0.4452690166975881,0.28385899814471244,0.27087198515769945,-0.16141001855287568
NSW,103,Banks,28,Riverwood South,1331,0.3989481592787378,0.41172051089406464,0.1893313298271976,0.01277235161532686
NSW,103,Banks,31,Allawah,1446,0.4114799446749654,0.36721991701244816,0.22130013831258644,-0.04426002766251724
NSW,103,Banks,42,Connells Point (Banks),1831,0.3047515019115238,0.4942654287274713,0.2009830693610049,0.18951392681594753
NSW,103,Banks,43,Hurstville South,858,0.4428904428904429,0.36013986013986016,0.19696969696969696,-0.08275058275058272
NSW,103,Banks,45,Hurstville Grove,1447,0.4001382170006911,0.4333102971665515,0.16655148583275742,0.03317208016586043
NSW,103,Banks,46,Blakehurst North,424,0.36792452830188677,0.3608490566037736,0.27122641509433965,-0.007075471698113178
NSW,103,Banks,55,Mortdale Central,1613,0.38871667699938006,0.4296342219466832,0.18164910105393675,0.04091754494730315
NSW,103,Banks,56,Mortdale East,1573,0.4653528289891926,0.3706293706293706,0.16401780038143673,-0.09472345835982199
NSW,103,Banks,58,Oatley,1736,0.44527649769585254,0.4302995391705069,0.12442396313364056,-0.01497695852534564
NSW,103,Banks,59,Oatley West,2007,0.4469357249626308,0.43447932237169906,0.11858495266567015,-0.012456402590931726
NSW,103,Banks,60,Penshurst Central,1785,0.4789915966386555,0.3585434173669468,0.16246498599439776,-0.1204481792717087
NSW,103,Banks,65,Carlton West,1321,0.3981831945495837,0.38455715367146104,0.21725965177895534,-0.013626040878122636
NSW,103,Banks,67,Allawah South,901,0.4450610432852386,0.38290788013318533,0.17203107658157601,-0.06215316315205327
NSW,103,Banks,34046,Hurstville BANKS PPVC,11625,0.4566021505376344,0.41359139784946236,0.12980645161290322,-0.04301075268817206
