2022 Federal Election House of Representatives First Preferences By Candidate By Polling Place for SA [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:00 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
SA,179,Adelaide,6868,Fullarton,36094,ALLWOOD,Sean,3,N,N,UAPP,United Australia Party,17,-0.51
SA,179,Adelaide,6868,Fullarton,36053,McMILLAN,Matthew,4,N,N,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",10,1.09
SA,179,Adelaide,6868,Fullarton,36463,GALDIES,Rebecca,5,N,N,GRN,The Greens,183,7.04
SA,179,Adelaide,6868,Fullarton,37714,GERHARD,Faith,6,N,N,CYA,Australian Federation Party,13,1.42
SA,179,Adelaide,6868,Fullarton,36885,ALLWOOD,Gayle,7,N,N,ON,Pauline Hanson's One Nation,13,1.42
SA,179,Adelaide,6868,Fullarton,999,Informal,Informal,999,N,N,,Informal,17,-0.35
SA,179,Adelaide,97818,Glenelg ADELAIDE PPVC,37049,GRANTHAM,Amy,1,N,N,LP,Liberal,319,-4.48
SA,179,Adelaide,97818,Glenelg ADELAIDE PPVC,36973,GEORGANAS,Steve,2,Y,Y,ALP,Australian Labor Party,393,5.25
SA,179,Adelaide,97818,Glenelg ADELAIDE PPVC,36094,ALLWOOD,Sean,3,N,N,UAPP,United Australia Party,18,-2.33
SA,179,Adelaide,97818,Glenelg ADELAIDE PPVC,36053,McMILLAN,Matthew,4,N,N,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",12,1.26
SA,179,Adelaide,97818,Glenelg ADELAIDE PPVC,36463,GALDIES,Rebecca,5,N,N,GRN,The Greens,165,0.77
SA,179,Adelaide,97818,Glenelg ADELAIDE PPVC,37714,GERHARD,Faith,6,N,N,CYA,Australian Federation Party,6,0.63
SA,179,Adelaide,97818,Glenelg ADELAIDE PPVC,36885,ALLWOOD,Gayle,7,N,N,ON,Pauline Hanson's One Nation,36,3.79
SA,179,Adelaide,97818,Glenelg ADELAIDE PPVC,999,Informal,Informal,999,N,N,,Informal,42,1.86
SA,179,Adelaide,6871,Goodwood,37049,GRANTHAM,Amy,1,N,N,LP,Liberal,396,-6.79
SA,179,Adelaide,6871,Goodwood,36973,GEORGANAS,Steve,2,Y,Y,ALP,Australian Labor Party,661,-5.13
SA,179,Adelaide,6871,Goodwood,36094,ALLWOOD,Sean,3,N,N,UAPP,United Australia Party,23,-0.72
SA,179,Adelaide,6871,Goodwood,36053,McMILLAN,Matthew,4,N,N,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",23,1.32
SA,179,Adelaide,6871,Goodwood,36463,GALDIES,Rebecca,5,N,N,GRN,The Greens,590,11.54
SA,179,Adelaide,6871,Goodwood,37714,GERHARD,Faith,6,N,N,CYA,Australian Federation Party,12,0.69
SA,179,Adelaide,6871,Goodwood,36885,ALLWOOD,Gayle,7,N,N,ON,Pauline Hanson's One Nation,32,1.84
SA,179,Adelaide,6871,Goodwood,999,Informal,Informal,999,N,N,,Informal,52,0.42
SA,179,Adelaide,82875,Goodwood Park,37049,GRANTHAM,Amy,1,N,N,LP,Liberal,287,-2.24
SA,179,Adelaide,82875,Goodwood Park,36973,GEORGANAS,Steve,2,Y,Y,ALP,Australian Labor Party,231,-1.36
SA,179,Adelaide,82875,Goodwood Park,36094,ALLWOOD,Sean,3,N,N,UAPP,United Australia Party,3,-0.23
SA,179,Adelaide,82875,Goodwood Park,36053,McMILLAN,Matthew,4,N,N,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",10,1.45
SA,179,Adelaide,82875,Goodwood Park,36463,GALDIES,Rebecca,5,N,N,GRN,The Greens,149,5.22
SA,179,Adelaide,82875,Goodwood Park,37714,GERHARD,Faith,6,N,N,CYA,Australian Federation Party,2,0.29
SA,179,Adelaide,82875,Goodwood Park,36885,ALLWOOD,Gayle,7,N,N,ON,Pauline Hanson's One Nation,9,1.3
SA,179,Adelaide,82875,Goodwood Park,999,Informal,Informal,999,N,N,,Informal,10,0.14
SA,179,Adelaide,6663,Greenacres,37049,GRANTHAM,Amy,1,N,N,LP,Liberal,499,1.27
SA,179,Adelaide,6663,Greenacres,36973,GEORGANAS,Steve,2,Y,Y,ALP,Australian Labor Party,540,-1.24
SA,179,Adelaide,6663,Greenacres,36094,ALLWOOD,Sean,3,N,N,UAPP,United Australia Party,24,-2.06
SA,179,Adelaide,6663,Greenacres,36053,McMILLAN,Matthew,4,N,N,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",21,1.58
SA,179,Adelaide,6663,Greenacres,36463,GALDIES,Rebecca,5,N,N,GRN,The Greens,188,1.83
SA,179,Adelaide,6663,Greenacres,37714,GERHARD,Faith,6,N,N,CYA,Australian Federation Party,6,0.45
